G1WS48E2.bin
         2.00
11
7
Type of measurement (0=app. resistivity,1=resistance)
0
480
 2
0
4  0.00  0.00 6.00  0.00 2.00  0.00 4.00  0.00 13902.56 
4  0.00  0.00 10.00  0.00 4.00  0.00 6.00  0.00 7748.28 
4  0.00  0.00 14.00  0.00 6.00  0.00 8.00  0.00 4314.28 
4  0.00  0.00 18.00  0.00 8.00  0.00 10.00  0.00 2721.71 
4  0.00  0.00 24.00  0.00 10.00  0.00 14.00  0.00 1669.60 
4  0.00  0.00 28.00  0.00 12.00  0.00 16.00  0.00 1132.69 
4  0.00  0.00 32.00  0.00 14.00  0.00 18.00  0.00 930.87 
4  0.00  0.00 36.00  0.00 16.00  0.00 20.00  0.00 915.76 
4  0.00  0.00 42.00  0.00 18.00  0.00 24.00  0.00 664.10 
4  0.00  0.00 46.00  0.00 20.00  0.00 26.00  0.00 559.52 
4  0.00  0.00 50.00  0.00 22.00  0.00 28.00  0.00 577.25 
4  0.00  0.00 54.00  0.00 24.00  0.00 30.00  0.00 571.95 
4  0.00  0.00 60.00  0.00 26.00  0.00 34.00  0.00 649.32 
4  0.00  0.00 64.00  0.00 28.00  0.00 36.00  0.00 667.15 
4  0.00  0.00 68.00  0.00 30.00  0.00 38.00  0.00 678.18 
4  0.00  0.00 72.00  0.00 32.00  0.00 40.00  0.00 671.59 
4  0.00  0.00 78.00  0.00 34.00  0.00 44.00  0.00 623.94 
4  0.00  0.00 82.00  0.00 36.00  0.00 46.00  0.00 575.43 
4  0.00  0.00 86.00  0.00 38.00  0.00 48.00  0.00 511.95 
4  0.00  0.00 90.00  0.00 40.00  0.00 50.00  0.00 457.18 
4  2.00  0.00 8.00  0.00 4.00  0.00 6.00  0.00 10956.04 
4  2.00  0.00 12.00  0.00 6.00  0.00 8.00  0.00 7486.20 
4  2.00  0.00 16.00  0.00 8.00  0.00 10.00  0.00 4130.49 
4  2.00  0.00 20.00  0.00 10.00  0.00 12.00  0.00 2746.68 
4  2.00  0.00 26.00  0.00 12.00  0.00 16.00  0.00 1428.21 
4  2.00  0.00 30.00  0.00 14.00  0.00 18.00  0.00 1064.38 
4  2.00  0.00 34.00  0.00 16.00  0.00 20.00  0.00 1012.58 
4  2.00  0.00 38.00  0.00 18.00  0.00 22.00  0.00 756.87 
4  2.00  0.00 44.00  0.00 20.00  0.00 26.00  0.00 574.74 
4  2.00  0.00 48.00  0.00 22.00  0.00 28.00  0.00 577.94 
4  2.00  0.00 52.00  0.00 24.00  0.00 30.00  0.00 580.22 
4  2.00  0.00 56.00  0.00 26.00  0.00 32.00  0.00 640.32 
4  2.00  0.00 62.00  0.00 28.00  0.00 36.00  0.00 674.44 
4  2.00  0.00 66.00  0.00 30.00  0.00 38.00  0.00 691.48 
4  2.00  0.00 70.00  0.00 32.00  0.00 40.00  0.00 673.71 
4  2.00  0.00 74.00  0.00 34.00  0.00 42.00  0.00 664.99 
4  2.00  0.00 80.00  0.00 36.00  0.00 46.00  0.00 572.29 
4  2.00  0.00 84.00  0.00 38.00  0.00 48.00  0.00 517.93 
4  2.00  0.00 88.00  0.00 40.00  0.00 50.00  0.00 466.43 
4  2.00  0.00 92.00  0.00 42.00  0.00 52.00  0.00 396.12 
4  4.00  0.00 10.00  0.00 6.00  0.00 8.00  0.00 10056.74 
4  4.00  0.00 14.00  0.00 8.00  0.00 10.00  0.00 6279.41 
4  4.00  0.00 18.00  0.00 10.00  0.00 12.00  0.00 4256.01 
4  4.00  0.00 22.00  0.00 12.00  0.00 14.00  0.00 2497.51 
4  4.00  0.00 28.00  0.00 14.00  0.00 18.00  0.00 1298.76 
4  4.00  0.00 32.00  0.00 16.00  0.00 20.00  0.00 1149.22 
4  4.00  0.00 36.00  0.00 18.00  0.00 22.00  0.00 836.17 
4  4.00  0.00 40.00  0.00 20.00  0.00 24.00  0.00 623.67 
4  4.00  0.00 46.00  0.00 22.00  0.00 28.00  0.00 600.92 
4  4.00  0.00 50.00  0.00 24.00  0.00 30.00  0.00 586.31 
4  4.00  0.00 54.00  0.00 26.00  0.00 32.00  0.00 637.99 
4  4.00  0.00 58.00  0.00 28.00  0.00 34.00  0.00 655.49 
4  4.00  0.00 64.00  0.00 30.00  0.00 38.00  0.00 694.43 
4  4.00  0.00 68.00  0.00 32.00  0.00 40.00  0.00 676.68 
4  4.00  0.00 72.00  0.00 34.00  0.00 42.00  0.00 671.43 
4  4.00  0.00 76.00  0.00 36.00  0.00 44.00  0.00 600.46 
4  4.00  0.00 82.00  0.00 38.00  0.00 48.00  0.00 516.09 
4  4.00  0.00 86.00  0.00 40.00  0.00 50.00  0.00 470.19 
4  4.00  0.00 90.00  0.00 42.00  0.00 52.00  0.00 392.56 
4  4.00  0.00 94.00  0.00 44.00  0.00 54.00  0.00 350.41 
4  6.00  0.00 12.00  0.00 8.00  0.00 10.00  0.00 7739.74 
4  6.00  0.00 16.00  0.00 10.00  0.00 12.00  0.00 5505.62 
4  6.00  0.00 20.00  0.00 12.00  0.00 14.00  0.00 3345.46 
4  6.00  0.00 24.00  0.00 14.00  0.00 16.00  0.00 1628.04 
4  6.00  0.00 30.00  0.00 16.00  0.00 20.00  0.00 1307.62 
4  6.00  0.00 34.00  0.00 18.00  0.00 22.00  0.00 957.14 
4  6.00  0.00 38.00  0.00 20.00  0.00 24.00  0.00 680.40 
4  6.00  0.00 42.00  0.00 22.00  0.00 26.00  0.00 579.33 
4  6.00  0.00 48.00  0.00 24.00  0.00 30.00  0.00 594.17 
4  6.00  0.00 52.00  0.00 26.00  0.00 32.00  0.00 626.74 
4  6.00  0.00 56.00  0.00 28.00  0.00 34.00  0.00 649.56 
4  6.00  0.00 60.00  0.00 30.00  0.00 36.00  0.00 686.92 
4  6.00  0.00 66.00  0.00 32.00  0.00 40.00  0.00 684.03 
4  6.00  0.00 70.00  0.00 34.00  0.00 42.00  0.00 670.90 
4  6.00  0.00 74.00  0.00 36.00  0.00 44.00  0.00 605.26 
4  6.00  0.00 78.00  0.00 38.00  0.00 46.00  0.00 532.30 
4  6.00  0.00 84.00  0.00 40.00  0.00 50.00  0.00 470.10 
4  6.00  0.00 88.00  0.00 42.00  0.00 52.00  0.00 410.21 
4  6.00  0.00 92.00  0.00 44.00  0.00 54.00  0.00 355.31 
4  8.00  0.00 14.00  0.00 10.00  0.00 12.00  0.00 5907.51 
4  8.00  0.00 18.00  0.00 12.00  0.00 14.00  0.00 4429.84 
4  8.00  0.00 22.00  0.00 14.00  0.00 16.00  0.00 2112.70 
4  8.00  0.00 26.00  0.00 16.00  0.00 18.00  0.00 1724.25 
4  8.00  0.00 32.00  0.00 18.00  0.00 22.00  0.00 1099.10 
4  8.00  0.00 36.00  0.00 20.00  0.00 24.00  0.00 766.94 
4  8.00  0.00 40.00  0.00 22.00  0.00 26.00  0.00 632.21 
4  8.00  0.00 44.00  0.00 24.00  0.00 28.00  0.00 612.26 
