LINE,STATION,ALT.,GRAV (mgal),TIDE,TIME,DEC.TIME+DATE,DATE,Name,Latitude,Longitude,EllipsoidHeight,TimeStamp, X , Y ,A
PROFILE,0,36.4256,4508.434,0.036,0.376168981481482,45505.37557,02/09/24,GRAVI.GR1.0,48.4888219864574,7.29042848202711,705.698251,2024-09-02T14:22:45.070,6829562.395562,1016870.504799,656.95362
PROFILE,1,35.6931,4508.326,0.049,0.394525462962963,45505.39389,02/09/24,GRAVI.GR1.1,48.4886088462485,7.28968882560061,706.917096,2024-09-02T14:13:08.020,6829535.769665,1016817.21762,658.170893
PROFILE,2,33.74,4507.777,0.058,0.409895833333333,45505.40924,02/09/24,GRAVI.GR1.2,48.4881995337541,7.28990525420136,707.776332,2024-09-02T14:15:27.280,6829491.205835,1016835.657149,659.029023
PROFILE,3,33.2517,4507.271,0.066,0.426377314814815,45505.4257,02/09/24,GRAVI.GR1.3,48.4877042503912,7.29106077019766,709.257152,2024-09-02T14:17:23.640,6829440.868503,1016923.905617,660.50956
PROFILE,4,33.9842,4506.678,0.073,0.449398148148148,45505.44868,02/09/24,GRAVI.GR1.4,48.487372683616,7.29166309202521,711.204729,2024-09-02T14:18:29.360,6829406.48358,1016970.349675,662.453819
PROFILE,0,32.2752,4508.457,0.057,0.528472222222222,45505.52763,02/09/24,GRAVI.GR1.0,48.4888219864574,7.29042848202711,705.698251,2024-09-02T14:22:45.070,6829562.395562,1016870.504799,656.95362
PROFILE,0,32.2752,4508.457,0.056,0.529224537037037,45505.52838,02/09/24,GRAVI.GR1.0,48.4888219864574,7.29042848202711,705.698251,2024-09-02T14:22:45.070,6829562.395562,1016870.504799,656.95362
PROFILE,5,30.5662,4505.878,0.046,0.545347222222222,45505.54447,02/09/24,GRAVI5,48.4870013186283,7.2921070258937,714.251402,2024-09-03T13:54:52.750,6829367.045675,1017005.347994,665.499859
PROFILE,6,30.8103,4504.236,0.037,0.557615740740741,45505.55672,02/09/24,GRAVI6,48.487191503701,7.2931299485188,721.425968,2024-09-03T13:56:13.180,6829392.262825,1017079.675401,672.676481
PROFILE,7,31.5428,4503.737,0.025,0.573159722222222,45505.57224,02/09/24,GRAVI7,48.4876179388947,7.29381620656967,723.415725,2024-09-03T13:57:38.210,6829442.351547,1017127.734207,674.6713
PROFILE,8,31.2986,4503.208,0.007,0.594398148148148,45505.59345,02/09/24,GRAVI8,48.487906497079,7.29516223480834,725.261885,2024-09-03T13:59:22.100,6829479.78736,1017225.30556,676.520206
PROFILE,0,29.5896,4508.476,-0.009,0.613576388888889,45505.61259,02/09/24,GRAVI.GR1.0,48.4888219864574,7.29042848202711,705.698251,2024-09-02T14:22:45.070,6829562.395562,1016870.504799,656.95362
PROFILE,0,33.2517,4508.538,-0.023,0.337430555555556,45506.33689,03/09/24,GRAVI.GR1.0,48.4888219864574,7.29042848202711,705.698251,2024-09-02T14:22:45.070,6829562.395562,1016870.504799,656.95362
PROFILE,10,32.2752,4508.572,-0.007,0.357164351851852,45506.35659,03/09/24,GRAVI10,48.4889677030078,7.2895908434736,706.417126,2024-09-03T14:07:30.540,6829575.208391,1016807.822143,657.671995
PROFILE,11,31.0545,4508.301,0.003,0.371099537037037,45506.37051,03/09/24,GRAVI11,48.4893686746587,7.28926131901099,707.935665,2024-09-03T14:08:38.570,6829618.392784,1016781.08895,659.191476
PROFILE,12,30.8103,4508.625,0.018,0.390138888888889,45506.38951,03/09/24,GRAVI12,48.4891093497234,7.28903673010453,706.445571,2024-09-03T14:09:32.840,6829588.707563,1016766.083467,657.700272
PROFILE,13,33.74,4508.761,0.027,0.403136574074074,45506.40249,03/09/24,GRAVI13,48.4889912394465,7.28888501078059,705.61052,2024-09-03T14:10:07.650,6829574.989063,1016755.602084,656.864661
PROFILE,0,33.74,4508.546,0.035,0.41599537037037,45506.41533,03/09/24,GRAVI.GR1.0,48.4888219864574,7.29042848202711,705.698251,2024-09-02T14:22:45.070,6829562.395562,1016870.504799,656.95362
PROFILE,0,34.2283,4508.555,0.053,0.516736111111111,45506.51591,03/09/24,GRAVI.GR1.0,48.4888219864574,7.29042848202711,705.698251,2024-09-02T14:22:45.070,6829562.395562,1016870.504799,656.95362
PROFILE,14,36.4256,4508.967,0.047,0.533738425925926,45506.53288,03/09/24,GRAVI14,48.48886210899,7.28874069016406,704.628181,2024-09-03T16:09:21.030,6829560.077061,1016745.73305,655.88173
PROFILE,15,35.2049,4509.435,0.036,0.554305555555556,45506.55342,03/09/24,GRAVI15,48.4887598500698,7.28852400514157,702.361525,2024-09-03T16:08:38.830,6829547.857446,1016730.362561,653.614494
PROFILE,16,39.1111,4510.212,0.019,0.580439814814815,45506.57951,03/09/24,GRAVI16,48.488605606192,7.2882489976544,698.698112,2024-09-03T16:07:52.410,6829529.633778,1016711.002493,649.950265
PROFILE,0,34.7166,4508.56,0.006,0.597569444444445,45506.59661,03/09/24,GRAVI.GR1.0,48.4888219864574,7.29042848202711,705.698251,2024-09-02T14:22:45.070,6829562.395562,1016870.504799,656.95362
