FB_TIME,FB_TIME_QLTY,OFFSET,REC_ELEV,REC_X,SRC_X
51.770000,1.846236,-71.000000,5.520000,70.500000,-0.750000
51.554585,36.612835,-69.000000,5.410000,69.000000,-0.750000
52.690189,70.534966,-68.000000,5.250000,67.500000,-0.750000
53.303646,10.122250,-66.000000,5.120000,66.000000,-0.750000
53.610374,6.135899,-65.000000,4.950000,64.500000,-0.750000
53.019238,5.337120,-63.000000,4.750000,63.000000,-0.750000
52.577766,0.486312,-62.000000,4.570000,61.500000,-0.750000
51.694832,0.079608,-60.000000,4.400000,60.000000,-0.750000
51.253365,4.337615,-59.000000,4.250000,58.500000,-0.750000
50.370426,0.830993,-57.000000,4.070000,57.000000,-0.750000
49.928959,0.488041,-56.000000,3.840000,55.500000,-0.750000
48.880096,0.242944,-54.000000,3.800000,54.000000,-0.750000
48.125565,0.070835,-53.000000,3.660000,52.500000,-0.750000
46.616501,7.168591,-51.000000,3.560000,51.000000,-0.750000
45.861965,6.938209,-50.000000,3.390000,49.500000,-0.750000
44.352901,10.116808,-48.000000,3.270000,48.000000,-0.750000
43.666656,5.354842,-47.000000,3.100000,46.500000,-0.750000
42.536976,16.507725,-45.000000,3.000000,45.000000,-0.750000
41.972134,16.316641,-44.000000,2.860000,43.500000,-0.750000
40.842449,17.275635,-42.000000,2.750000,42.000000,-0.750000
40.277607,15.461681,-41.000000,2.650000,40.500000,-0.750000
40.209080,0.759618,-39.000000,2.390000,39.000000,-0.750000
40.391533,0.160870,-38.000000,2.210000,37.500000,-0.750000
40.756435,9.655916,-36.000000,2.110000,36.000000,-0.750000
40.938885,34.068756,-35.000000,1.990000,34.500000,-0.750000
40.834843,40.595787,-33.000000,1.890000,33.000000,-0.750000
39.063347,47.080189,-32.000000,1.750000,31.500000,-0.750000
35.520363,15.218952,-30.000000,1.620000,30.000000,-0.750000
33.748867,20.910793,-29.000000,1.450000,28.500000,-0.750000
32.972382,10.982430,-27.000000,1.360000,27.000000,-0.750000
32.720940,44.305309,-26.000000,1.310000,25.500000,-0.750000
32.218060,42.869976,-24.000000,1.130000,24.000000,-0.750000
31.931534,72.145164,-23.000000,0.920000,22.500000,-0.750000
31.313608,71.490913,-21.000000,0.710000,21.000000,-0.750000
31.004646,99.929604,-20.000000,0.600000,19.500000,-0.750000
29.781843,90.846832,-18.000000,0.430000,18.000000,-0.750000
29.031363,95.374107,-17.000000,0.310000,16.500000,-0.750000
27.530403,85.036919,-15.000000,0.250000,15.000000,-0.750000
