FB_TIME,FB_TIME_QLTY,OFFSET,REC_ELEV,REC_X,SRC_X
51.770000,62.677216,-71.000000,5.520000,70.500000,-0.750000
51.554585,13.251684,-69.000000,5.410000,69.000000,-0.750000
52.690189,4.282903,-68.000000,5.250000,67.500000,-0.750000
53.303646,31.785852,-66.000000,5.120000,66.000000,-0.750000
53.610374,40.457558,-65.000000,4.950000,64.500000,-0.750000
53.019238,39.949997,-63.000000,4.750000,63.000000,-0.750000
52.577766,75.873184,-62.000000,4.570000,61.500000,-0.750000
51.694832,96.487663,-60.000000,4.400000,60.000000,-0.750000
51.253365,46.074181,-59.000000,4.250000,58.500000,-0.750000
50.370426,97.693596,-57.000000,4.070000,57.000000,-0.750000
49.928959,73.493484,-56.000000,3.840000,55.500000,-0.750000
48.856430,98.238678,-54.000000,3.800000,54.000000,-0.750000
48.057236,98.815414,-53.000000,3.660000,52.500000,-0.750000
46.458855,92.456833,-51.000000,3.560000,51.000000,-0.750000
45.659664,92.652824,-50.000000,3.390000,49.500000,-0.750000
44.061279,85.948479,-48.000000,3.270000,48.000000,-0.750000
43.243122,88.626999,-47.000000,3.100000,46.500000,-0.750000
41.299892,62.054245,-45.000000,3.000000,45.000000,-0.750000
40.328274,54.435116,-44.000000,2.860000,43.500000,-0.750000
38.553284,45.292530,-42.000000,2.750000,42.000000,-0.750000
37.899097,49.689667,-41.000000,2.650000,40.500000,-0.750000
36.590729,55.030178,-39.000000,2.390000,39.000000,-0.750000
35.936543,61.201454,-38.000000,2.210000,37.500000,-0.750000
34.799923,61.443394,-36.000000,2.110000,36.000000,-0.750000
34.232044,70.686729,-35.000000,1.990000,34.500000,-0.750000
33.096291,68.300270,-33.000000,1.890000,33.000000,-0.750000
31.985483,80.607788,-32.000000,1.750000,31.500000,-0.750000
29.420967,63.896362,-30.000000,1.620000,30.000000,-0.750000
28.173227,74.001968,-29.000000,1.450000,28.500000,-0.750000
27.334620,57.637501,-27.000000,1.360000,27.000000,-0.750000
26.915316,89.642471,-26.000000,1.310000,25.500000,-0.750000
26.076710,79.133888,-24.000000,1.130000,24.000000,-0.750000
25.657406,96.141479,-23.000000,0.920000,22.500000,-0.750000
23.883289,94.257774,-21.000000,0.710000,21.000000,-0.750000
22.920086,86.345680,-20.000000,0.600000,19.500000,-0.750000
21.026363,94.156258,-18.000000,0.430000,18.000000,-0.750000
20.389999,68.373779,-17.000000,0.310000,16.500000,-0.750000
19.117273,97.208633,-15.000000,0.250000,15.000000,-0.750000
18.480909,95.587135,-14.000000,0.150000,13.500000,-0.750000
18.290001,37.979435,-12.000000,0.080000,12.000000,-0.750000
18.290001,24.689785,-11.000000,0.080000,10.500000,-0.750000
17.313938,18.464319,-9.000000,0.040000,9.000000,-0.750000
16.752983,14.026825,-8.000000,0.020000,7.500000,-0.750000
12.966407,22.867676,-6.000000,0.000000,6.000000,-0.750000
10.038977,32.801971,-5.000000,0.050000,4.500000,-0.750000
3.338186,99.044075,-3.000000,0.010000,3.000000,-0.750000
-1.633632,65.109856,-2.000000,0.050000,1.500000,-0.750000
-9.884000,1.140887,0.000000,0.000000,0.000000,-0.750000
