Name,Latitude,Longitude,EllipsoidHeight,TimeStamp, X , Y ,A
ONDES.GR1.21,48.4908581093202,7.2880741107266,719.449726,2024-09-04T15:16:37.020,6829778.952865,1016684.507405,670.709066
ONDES.GR1.20,48.4908850237158,7.28810547086816,719.228555,2024-09-04T15:16:15.710,6829782.066057,1016686.658748,670.488017
ONDES.GR1.19,48.4909141949586,7.28814123503837,718.887792,2024-09-04T15:15:59.540,6829785.447417,1016689.1214,670.147388
ONDES.GR1.18,48.4909427593841,7.28817248252739,718.561036,2024-09-04T15:15:42.450,6829788.743307,1016691.254471,669.820761
ONDES.GR1.17,48.4909707594708,7.28820484773142,718.147853,2024-09-04T15:15:21.440,6829791.981041,1016693.473409,669.407704
ONDES.GR1.16,48.490997747817,7.28823820987244,717.699493,2024-09-04T15:15:02.550,6829795.110474,1016695.772003,668.95947
ONDES.GR1.15,48.491025298554,7.28827355279029,717.190354,2024-09-04T15:14:45.660,6829798.310277,1016698.213342,668.450457
ONDES.GR1.14,48.4910524424954,7.28830809311568,716.885397,2024-09-04T15:14:26.500,6829801.461709,1016700.597917,668.145629
ONDES.GR1.13,48.4910795778138,7.28834268796495,716.506509,2024-09-04T15:14:06.480,6829804.612403,1016702.986565,667.766867
ONDES.GR1.12,48.491107474452,7.28837703434125,716.175868,2024-09-04T15:13:48.640,6829807.846606,1016705.352284,667.436356
ONDES.GR1.11,48.4911353204356,7.28841040363091,715.758849,2024-09-04T15:13:29.510,6829811.071268,1016707.646217,667.019463
ONDES.GR1.10,48.4911635547569,7.28844187656118,715.37001,2024-09-04T15:13:07.830,6829814.331429,1016709.797892,666.63075
ONDES.GR1.9,48.4911922196508,7.28847506415501,715.065367,2024-09-04T15:12:47.050,6829817.646261,1016712.073473,666.326237
ONDES.GR1.8,48.4912208561215,7.2885069102062,714.692884,2024-09-04T15:12:27.660,6829820.952557,1016714.250244,665.953883
ONDES.GR1.7,48.4912489795139,7.28854110892421,714.388021,2024-09-04T15:12:06.790,6829824.211342,1016716.603687,665.64915
ONDES.GR1.6,48.4912772529447,7.28857448795626,713.865232,2024-09-04T15:11:45.720,6829827.483493,1016718.895746,665.126491
ONDES.GR1.5,48.4913047955574,7.2886070886604,713.588551,2024-09-04T15:11:25.210,6829830.671405,1016721.134788,664.849936
ONDES.GR1.4,48.4913341571582,7.28864042647812,713.350197,2024-09-04T15:11:05.850,6829834.064176,1016723.417234,664.611712
ONDES.GR1.3,48.4913629868556,7.28867285112131,713.271782,2024-09-04T15:10:46.900,6829837.394246,1016725.635514,664.533426
ONDES.GR1.2,48.4913913755869,7.28870407955478,713.303219,2024-09-04T15:10:28.280,6829840.670572,1016727.768197,664.564993
ONDES.GR1.1,48.4914193588989,7.28873744380059,713.242974,2024-09-04T15:10:04.420,6829843.910467,1016730.060902,664.504873
