Name,Latitude,Longitude,EllipsoidHeight,TimeStamp, X , Y ,A
SP.GR1.0,48.4910058277086,7.28828824050137,717.320947,2024-09-03T15:06:36.670,6829796.207986,1016699.414486,668.581004
SP.GR1.1,48.4910481493243,7.28830627604021,716.952588,2024-09-03T15:07:16.310,6829800.977892,1016700.489761,668.212802
SP.GR1.2,48.4910106977859,7.28835560814496,717.072591,2024-09-03T15:07:57.620,6829797.018759,1016704.355453,668.332739
SP.GR1.3,48.4909656961501,7.28832466321076,717.523095,2024-09-03T15:08:22.670,6829791.899599,1016702.343902,668.783064
SP.GR1.4,48.4909630769703,7.28826531834168,717.904694,2024-09-03T15:08:48.560,6829791.370849,1016697.981265,669.164587
SP.GR1.5,48.4910209481635,7.28822438127454,717.461143,2024-09-03T15:09:18.470,6829797.630175,1016694.611741,668.721177
SP.GR1.6,48.4910839369607,7.28835495578791,716.443139,2024-09-03T15:10:05.320,6829805.145461,1016703.865374,667.703524
SP.GR1.7,48.4909905166454,7.28842069141889,716.99146,2024-09-03T15:10:39.020,6829795.039768,1016709.279049,668.251616
SP.GR1.8,48.4909221719483,7.2883415012943,717.820875,2024-09-03T15:11:07.680,6829787.136087,1016703.848847,669.080723
SP.GR1.9,48.490934890904,7.28820544975198,718.50956,2024-09-03T15:11:36.540,6829788.002157,1016693.73426,669.769297
SP.GR1.10,48.491029910204,7.28815987840034,717.599406,2024-09-03T15:12:19.340,6829798.366222,1016689.798671,668.859398
SP.GR1.11,48.491089683304,7.28824900055046,716.74661,2024-09-03T15:13:03.570,6829805.358305,1016696.01338,668.006896
SP.GR1.12,48.4910990505313,7.28852105119995,715.525594,2024-09-03T15:14:15.600,6829807.489241,1016716.028598,666.786215
SP.GR1.13,48.4908915075536,7.28849822270283,717.254586,2024-09-03T15:15:17.090,6829784.361058,1016715.596747,668.514509
SP.GR1.14,48.4908302837248,7.28822756553504,719.023468,2024-09-03T15:16:05.250,6829776.479793,1016695.99717,670.282887
SP.GR1.15,48.4909258314007,7.28804670791082,719.153946,2024-09-03T15:16:40.650,6829786.359899,1016682.077004,670.413477
SP.GR1.16,48.4911362164518,7.28810377705463,716.76836,2024-09-03T15:17:22.820,6829809.940872,1016685.018091,668.028635
SP.GR1.17,48.4911722543109,7.2883846521648,715.637128,2024-09-03T15:18:46.320,6829815.067522,1016705.523418,666.897833
SP.GR1.18,48.4910251027454,7.28882363068531,713.406324,2024-09-03T15:18:56.550,6829800.495008,1016738.799008,664.667048
SP.GR1.19,48.4906786511919,7.28851516136215,716.774031,2024-09-03T15:20:23.240,6829760.802621,1016718.130967,668.033284
SP.GR1.20,48.4907395491478,7.28794845633801,722.755782,2024-09-03T15:22:40.000,6829765.289096,1016675.952013,674.014599
SP.GR1.21,48.4910738728761,7.28775824831721,718.664838,2024-09-03T15:24:20.600,6829801.63515,1016659.901338,669.924529
SP.GR1.22,48.491351694443,7.28811135348559,721.307818,2024-09-03T15:27:00.910,6829833.888647,1016684.276887,672.568799
SP.GR1.23,48.4913060075128,7.28858296472427,713.651282,2024-09-03T15:27:59.770,6829830.709162,1016719.347631,664.91264
