Name,Latitude,Longitude,EllipsoidHeight,TimeStamp, X , Y ,A
SP.GR1.L20,48.4908437608101,7.28805670627127,719.730597,2024-09-03T15:36:47.510,6829777.290421,1016683.309885,670.989872
SP.GR1.L19,48.4908785869901,7.28809865728887,719.308154,2024-09-03T15:36:26.730,6829781.324273,1016686.194883,670.567589
SP.GR1.L18,48.4909138344341,7.28814061120507,718.912233,2024-09-03T15:36:06.320,6829785.404897,1016689.077549,670.171829
SP.GR1.L17,48.4909483264562,7.28818182047533,718.528261,2024-09-03T15:35:45.840,6829789.398687,1016691.909829,669.788013
SP.GR1.L16,48.4909835474243,7.28822364763937,717.927933,2024-09-03T15:35:23.130,6829793.475867,1016694.783295,669.187845
SP.GR1.L15,48.4910179696703,7.28826550528625,717.368246,2024-09-03T15:34:59.030,6829797.464516,1016697.663824,668.628319
SP.GR1.L14,48.4910534342468,7.2883077967732,716.917529,2024-09-03T15:34:37.430,6829801.570601,1016700.570069,668.177761
SP.GR1.L13,48.4910882969719,7.28834960893531,716.442391,2024-09-03T15:34:11.020,6829805.607962,1016703.444577,667.702784
SP.GR1.L12,48.4911228628122,7.28839186777846,716.027658,2024-09-03T15:33:50.840,6829809.614163,1016706.353827,667.288211
SP.GR1.L11,48.491158574642,7.28843251422132,715.434577,2024-09-03T15:33:28.800,6829813.741099,1016709.137197,666.69529
SP.GR1.L10,48.4911936091356,7.28847415171372,715.067638,2024-09-03T15:33:07.610,6829817.796829,1016711.997768,666.328511
SP.GR1.L9,48.4912290471206,7.28851529029621,714.632636,2024-09-03T15:32:46.820,6829821.895346,1016714.819092,665.893669
SP.GR1.L8,48.4912647222432,7.2885562044444,714.114214,2024-09-03T15:32:24.060,6829826.019286,1016717.622421,665.375412
SP.GR1.L7,48.491299166965,7.28859752080456,713.697973,2024-09-03T15:32:03.810,6829830.00827,1016720.462846,664.959327
SP.GR1.L6,48.4913350097186,7.28863903427727,713.39239,2024-09-03T15:31:41.550,6829834.153223,1016723.309373,664.653908
SP.GR1.L5,48.4913710239117,7.28868060825088,713.369096,2024-09-03T15:31:18.470,6829838.31745,1016726.159325,664.630774
SP.GR1.L4,48.4914062514792,7.28872105185321,713.330927,2024-09-03T15:30:57.800,6829842.389831,1016728.930623,664.592766
SP.GR1.L3,48.4914418265943,7.28876134519605,713.181226,2024-09-03T15:30:33.010,6829846.500187,1016731.688732,664.443225
SP.GR1.L2,48.4914774477174,7.28880366195243,712.492178,2024-09-03T15:30:07.410,6829850.623768,1016734.595845,663.75434
SP.GR1.L1,48.4915115107326,7.2888428529849,711.793172,2024-09-03T15:29:38.080,6829854.561867,1016737.281745,663.055492
